Date,Open,High,Low,Volume,Close
2024-01-30,43300.23,43725.66,43176.35,23553882112.0,43357.62
2024-01-29,42030.91,43305.87,41818.33,20668476578.0,43288.25
2024-01-28,42126.13,42797.18,41696.91,16858971687.0,42035.59
2024-01-27,41815.63,42195.63,41431.28,11422941934.0,42120.05
2024-01-26,39936.82,42209.39,39825.69,25598119893.0,41816.87
2024-01-25,40075.55,40254.48,39545.66,18491782013.0,39933.81
2024-01-24,39877.59,40483.79,39508.8,22359526178.0,40077.07
2024-01-23,39518.71,40127.35,38521.89,29244553045.0,39845.55
2024-01-22,41553.65,41651.21,39450.12,31338708143.0,39507.37
2024-01-21,41671.49,41855.37,41497.01,9344043642.0,41545.79
2024-01-20,41624.59,41877.89,41446.82,11586690904.0,41665.59
2024-01-19,41278.46,42134.16,40297.46,25752407154.0,41618.41
2024-01-18,42742.31,42876.35,40631.17,25218357242.0,41262.06
2024-01-17,43132.1,43189.89,42189.31,20851232595.0,42742.65
2024-01-16,42499.34,43566.27,42086.0,24062872740.0,43154.95
2024-01-15,41715.07,43319.72,41705.42,22320220558.0,42511.97
2024-01-14,42842.26,43065.6,41724.61,17521429522.0,41796.27
2024-01-13,42799.45,43234.66,42464.14,20601860469.0,42842.38
2024-01-12,46354.79,46498.14,41903.77,43332698900.0,42853.17
2024-01-11,46656.07,48969.37,45678.64,45833734549.0,46368.59
2024-01-10,46121.54,47647.22,44483.15,50114613298.0,46627.78
2024-01-09,46987.64,47893.7,45244.71,39821290992.0,46139.73
2024-01-08,43948.71,47218.0,43244.08,42746192015.0,46970.5
2024-01-07,43998.46,44495.57,43662.23,19330573863.0,43943.1
2024-01-06,44178.95,44227.63,43475.16,16092503468.0,43989.2
2024-01-05,44192.98,44353.29,42784.72,32336029347.0,44162.69
2024-01-04,42855.82,44770.02,42675.18,30448091210.0,44179.92
2024-01-03,44961.6,45503.24,40813.54,46342323118.0,42848.18
2024-01-02,44187.14,45899.71,44176.95,39335274536.0,44957.97
